"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Prolific_ID","Gender","Age","Education","Discipline","Student","Ethnicity","pcs_handslow","pcs_magnetichands","pcs_mosquito","pcs_tastesweet","pcs_tastesour","pcs_armrigidity","pcs_armimmobile","pcs_music","pcs_negativehallucination","pcs_urgepress","pcs_memorypress","pcs_amnesia","pcs_yellowball","pcs_redball","pcs_greenball","pcs_blueball","pcs_purpleball","pcs_orangeball","pcs_noballs","pcs_amnesia_w","pcs_remember_w","pcs_hello","pcs_press","pid_Dis1","pid_Dis2","pid_Dis3","pid_Dis5","pid_Dis6","pid_Det4","pid_Det13","pid_Det14","pid_Det16","pid_Det18","pid_Psy7","pid_Psy12","pid_Psy21","pid_Psy23","pid_Psy24","pid_NegAff8","pid_NegAff9","pid_NegAff10","pid_NegAff11","pid_NegAff15","pid_Ant17","pid_Ant19","pid_Ant20","pid_Ant22","pid_Ant25","ipip_Cons3","ipip_Cons10","ipip_Cons11_R","ipip_Cons22_R","ipip_Ext1","ipip_Ext7_R","ipip_Ext19_R","ipip_Ext23","ipip_Agr2","ipip_Agr8_R","ipip_Agr14","ipip_Agr20_R","ipip_HonHum6_R","ipip_HonHum12_R","ipip_HonHum18_R","ipip_HonHum24_R","ipip_Neuro4","ipip_Neuro15_R","ipip_Neuro16","ipip_Neuro17_R","ipip_Open5","ipip_Open9_R","ipip_Open13_R","ipip_Open21_R","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","PID5_Disinhibition","PID5_Detachment","PID5_NegativeAffect","PID5_Antagonism","PID5_Psychoticism"
"S015",NA,"2026-04-02 17:05:22",62.2146333333333,"chrome 146.0.0","false","Windows 10",1366,599,"60f1f1d4ac991a259b83f603","Male",32,"Bachelor","Arts and Humanities",FALSE,"Black",5,3,5,3,5,3,5,0,0,5,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I had to imagine what I was instructed to do by the voice that commands me into doing a particular thing. Funny enough, things that the voice suggested most of them I felt as per the voice command.","I was now asked to press a spacebar if I see a word, but first I had to close my eyes and then open them as per the voice command.","Hello",6,0,0,0,0,0,0,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,7,7,7,1,1,7,1,7,7,1,7,1,1,7,1,1,1,7,1,7,7,1,1,1,4,5.5,1,7,5.5,7,0,0.4,0,0,1.6
"S017",NA,"2026-04-02 18:23:18",43.3399833333333,"chrome 146.0.0","false","Windows 10",1920,957,"6989b97fe18004bdbb4fe157","Male",19,"High school",NA,TRUE,"White",2,4,0,3,1,2,1,0,0,2,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"The stairs one, the happy birthday one, the 2 balls one , the stiff right arm, the heavy left arm on the lap, the heavy object  in the right hand and thats all I remember","Nothing much than before, exactly the same","Hello",6,0,2,0.5,1,2,2,0.5,0,0.5,0.5,2,0,2,1,1,2,0.5,2,0,0.5,0,0.5,0,0,0,6,2,1,2,1,6,5,1,7,1,7,1,2,6,1,1,6,6,2,2,2,2,6,2,1.75,5.25,4,4,5.5,7,1.1,0.7,1,0.1,1.2
"S018",NA,"2026-04-02 20:38:37",62.0054833333333,"firefox 149.0.0","false","Windows 10",1870,893,"5bfdd2bc11e618000158834f","Female",30,"Bachelor","Psychology, Neuroscience",FALSE,"White",3,3,1,0,0,3,3,2,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"I don't remember anything other than what I reported, my memory is really bad, I remember being guided through the exercises of lifting arms and the varying stiffness levels, and being asked to release them. I was asked to open my eyes and close them multiple different times. I had to remember the sound of mosquitos. Imagining the sour and sweetness of the candy. Remembering the green, blue and red balls on the screen and recalling this. And was asked to press the space bar 6 times when the sign came up on the screen.","Hello",6,0,1,1,0.5,1,0.5,0,1,2,1,2,0,1,1,1,2,2,0,1,2,0,0.5,1,0,0,1,5,5,6,1,6,7,1,6,4,5,4,5,6,2,4,6,1,7,1,7,5,1,1,1.25,2.75,6.75,6,3.75,4.75,0.7,0.9,1.4,0.3,1
"S019",NA,"2026-04-02 20:47:00",53.3837333333333,"chrome 146.0.0","false","Windows 10",1536,730,"60fff225fb2da6129caf029a","Female",71,"Bachelor","Business, Economics",FALSE,"White",4,3,2,3,2,5,4,0,0,1,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"i still remember my left hand being heavy, right hand carying something heavy","Hello",6,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,6,7,2,2,4,4,4,6,6,3,6,2,4,4,1,2,1,4,2,1,4,4,3,4,4.5,6.25,3.5,4.25,5.25,5.75,0.2,0.3,0.1,0.2,0
"S020",NA,"2026-04-02 20:51:36",44.77405,"chrome 146.0.0","false","Windows 10",1562,719,"5f39a2fd2d394917284dd66f","Female",56,"Bachelor","Biology, Chemistry, Physics",FALSE,"White",4,3,1,2,5,1,4,0,0,5,4,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"i was asked to perform some mental exercises and to report back the intensity of how I felt them","I remember being asked to close my eyes and then open them again and press the space bar 6 times when reading the message on the screen saying please wait","Hello",6,0,0.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,7,4,1,1,3,1,3,6,4,5,4,6,1,1,1,1,1,6,2,7,2,1,6,3,5.25,6.25,1.5,4,7,3.25,0.3,0.2,0.3,0.2,0
"S021",NA,"2026-04-02 21:26:16",43.1575,"chrome 146.0.0","false","Windows 10",1920,919,"69b7fa75bb63480acdf7672b","Male",27,"Master","Business, Economics",FALSE,"White",3,4,1,4,2,3,3,0,0,5,5,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"- putting hand up and getting pushed down- putting hands infront of me and being pulled together- Hearing/not hearing happy birthday song- Hand getting heavier and heavier- arm getting stiff so i cant bend it- seeing two/three balls on the screen","i remembered everything the same","Hello",6,0,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0,1,0.5,0,0,0.5,0,0.5,4,4,3,2,3,4,6,3,5,3,5,3,3,5,5,5,2,5,3,3,3,2,4,3,3,4.75,3.25,4.5,3.5,5,0.5,0.6,0.6,0.2,0.6
"S023",NA,"2026-04-02 21:27:42",39.5467,"firefox 149.0.0","false","Windows 10",2006,1023,"6651a430f62ba82f71f6af36","Male",20,"High school",NA,TRUE,"White",3,4,1,3,2,4,3,0,0,5,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Three balls instead of two,","arm heavy, hands together, going down stairs, arm stiff","Hello",6,0,0.5,0,0.5,0,1,1,0.5,0.5,1,1,0.5,1,1,1,2,0.5,0.5,1,0.5,0,0,1,0.5,1,5,6,3,1,3,6,5,2,4,3,5,3,4,4,2,5,5,4,2,3,5,2,3,2,2.5,5.75,4,5.5,4.25,4.75,0.2,0.8,0.9,0.5,0.9
"S026",NA,"2026-04-02 21:47:36",50.4504166666667,"chrome 146.0.0","false","Windows 10",1920,919,"6679a3b7cb020a6e4728eac5","Male",30,"Master","Engineering, Computer Science",FALSE,"White",5,4,5,3,1,4,3,0,0,4,1,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Now i remember that i was asked to forget everything, but my memory still dont allow me access to some memories of this ""asmr"" section. I just feel like i was raising arms, dreaming like if i was following some instructions about different senses.","Hello",6,0,0.5,1,0,0,0.5,1,0.5,0.5,0,0.5,0,0.5,0.5,1,1,0.5,0.5,0.5,1,0,1,0.5,0,0,6,6,3,3,2,6,7,3,6,3,5,1,6,5,5,5,3,5,4,7,7,1,1,1,2,5.5,2.75,7,2.75,5.75,0.3,0.5,0.7,0.3,0.5
"S027",NA,"2026-04-02 22:05:13",46.1231666666667,"chrome 146.0.0","false","Windows 10",1920,911,"696b7bf81f46b3f7e7754087","Other",20,"High school",NA,TRUE,"White",4,3,0,4,1,5,2,1,0,4,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",6,1,2,2,2,1,2,2,1,2,1,2,0.5,2,2,1,2,2,0.5,2,2,0,1,0,0,0,1,5,7,6,2,5,7,1,6,3,6,4,2,2,6,6,7,2,7,1,6,4,2,2,1.75,2.25,6.75,5.5,4,5.25,1.6,1.6,1.7,0.2,1.5
"S028",NA,"2026-04-02 22:12:02",41.56425,"chrome 146.0.0","false","Windows 10",1920,917,"698df35b51bbefb79a208d8d","Female",29,"Master","Business, Economics",FALSE,"White",4,1,2,3,0,1,1,0,0,5,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"showing me 3 balls, imagining a heavy item in my right hand, mosquito flying around, walking down the steps, heavy left hand, magnet hands","the happy birthday song, stiff arm","Hello",6,0.5,0,0.5,0.5,0.5,2,2,2,0.5,1,1,0,1,0,0,2,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,2,5,6,5,1,4,5,1,5,3,7,3,2,2,1,6,3,2,3,2,1,2,7,3,2.25,3,4.5,3.25,5.25,5.5,0.4,1.5,0.8,0.3,0.4
