"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Prolific_ID","Gender","Age","Education","Discipline","Student","Ethnicity","pcs_handslow","pcs_magnetichands","pcs_mosquito","pcs_tastesweet","pcs_tastesour","pcs_armrigidity","pcs_armimmobile","pcs_music","pcs_negativehallucination","pcs_urgepress","pcs_memorypress","pcs_amnesia","pcs_yellowball","pcs_redball","pcs_greenball","pcs_blueball","pcs_purpleball","pcs_orangeball","pcs_noballs","pcs_amnesia_w","pcs_remember_w","pcs_hello","pcs_press","pid_Dis1","pid_Dis2","pid_Dis3","pid_Dis5","pid_Dis6","pid_Det4","pid_Det13","pid_Det14","pid_Det16","pid_Det18","pid_Psy7","pid_Psy12","pid_Psy21","pid_Psy23","pid_Psy24","pid_NegAff8","pid_NegAff9","pid_NegAff10","pid_NegAff11","pid_NegAff15","pid_Ant17","pid_Ant19","pid_Ant20","pid_Ant22","pid_Ant25","ipip_Cons3","ipip_Cons10","ipip_Cons11_R","ipip_Cons22_R","ipip_Ext1","ipip_Ext7_R","ipip_Ext19_R","ipip_Ext23","ipip_Agr2","ipip_Agr8_R","ipip_Agr14","ipip_Agr20_R","ipip_HonHum6_R","ipip_HonHum12_R","ipip_HonHum18_R","ipip_HonHum24_R","ipip_Neuro4","ipip_Neuro15_R","ipip_Neuro16","ipip_Neuro17_R","ipip_Open5","ipip_Open9_R","ipip_Open13_R","ipip_Open21_R"
"S025",NA,2026-04-02 21:35:37,43.2593333333333,"chrome 146.0.0","false","Mac OS",1440,812,"693407307f784b234604c379","Male",25,"Master","Medicine",FALSE,"White",5,5,4,5,4,5,4,1,0,0,2,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Arm in front heavy bowling, hands together magnet, stairs going down, hand heavy,","left hand heavy, right arm pulling down, balls, space bar","Hello",0,0,0,0,0,0,0,1,0,0.5,0,1,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,5,5,1,1,4,4,4,5,6,3,6,3,4,4,6,2,1,5,2,5,3,2,4,3
"S026",NA,2026-04-02 21:47:36,50.4504166666667,"chrome 146.0.0","false","Windows 10",1920,919,"6679a3b7cb020a6e4728eac5","Male",30,"Master","Engineering, Computer Science",FALSE,"White",5,4,5,3,1,4,3,0,0,4,1,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Now i remember that i was asked to forget everything, but my memory still dont allow me access to some memories of this ""asmr"" section. I just feel like i was raising arms, dreaming like if i was following some instructions about different senses.","Hello",6,0,0.5,1,0,0,0.5,1,0.5,0.5,0,0.5,0,0.5,0.5,1,1,0.5,0.5,0.5,1,0,1,0.5,0,0,6,6,3,3,2,6,7,3,6,3,5,1,6,5,5,5,3,5,4,7,7,1,1,1
"S027",NA,2026-04-02 22:05:13,46.1231666666667,"chrome 146.0.0","false","Windows 10",1920,911,"696b7bf81f46b3f7e7754087","Other",20,"High school",NA,TRUE,"White",4,3,0,4,1,5,2,1,0,4,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",6,1,2,2,2,1,2,2,1,2,1,2,0.5,2,2,1,2,2,0.5,2,2,0,1,0,0,0,1,5,7,6,2,5,7,1,6,3,6,4,2,2,6,6,7,2,7,1,6,4,2,2
"S028",NA,2026-04-02 22:12:02,41.56425,"chrome 146.0.0","false","Windows 10",1920,917,"698df35b51bbefb79a208d8d","Female",29,"Master","Business, Economics",FALSE,"White",4,1,2,3,0,1,1,0,0,5,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"showing me 3 balls, imagining a heavy item in my right hand, mosquito flying around, walking down the steps, heavy left hand, magnet hands","the happy birthday song, stiff arm","Hello",6,0.5,0,0.5,0.5,0.5,2,2,2,0.5,1,1,0,1,0,0,2,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,2,5,6,5,1,4,5,1,5,3,7,3,2,2,1,6,3,2,3,2,1,2,7,3
"S029",NA,2026-04-02 22:44:26,41.7924166666667,"chrome 146.0.0","false","Windows 10",1920,911,"692978f6bcd6a63e8b1b77a4","Male",43,"Doctorate","Biology, Chemistry, Physics",NA,"White",3,2,5,1,0,2,3,2,3,1,1,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"We have noticed the weight of a bowling ball in my hand, the sweet taste turning to salty in my mouth, the sound of a birthday song, a mosquito trying to bite my right hand, the presence of some colored balls","I remember the same things I wrote before.","Hello",0,0.5,0.5,1,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,1,0.5,0.5,1,0.5,0.5,0.5,5,6,4,4,3,4,5,4,5,2,5,2,4,6,2,4,3,6,4,4,4,4,4,3
"S030",NA,2026-04-03 07:52:03,45.06695,"chrome 146.0.0","false","Windows 10",1920,911,"66465c850d9a3e177f2649fa","Male",35,"High school",NA,FALSE,"White",5,4,3,4,3,5,4,0,0,2,2,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,"Hello",0,1,1,1,0.5,1,2,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0,1,0.5,2,0.5,1,0,0,0,0,0,4,1,4,3,1,7,7,1,6,3,6,3,1,5,4,4,3,2,4,1,2,3,6,4
"S031",NA,2026-04-03 07:56:06,61.7191,"chrome 134.0.0","false","Windows 10",1280,585,"67a95d468d14bd6324b4bbba","Male",33,"Doctorate","agriculture",FALSE,"White",1,2,0,2,0,1,2,3,3,1,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"i was listening to a voice telling me what to do","N/A","Hello",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,7,7,1,1,1,1,7,7,7,1,1,1,1,7,7,6,1,7,1,1,7,1,1,1
"S032",NA,2026-04-03 08:34:27,43.8057833333333,"chrome 146.0.0","false","Windows 10",1920,1039,"5f4fef64fd3fc113300fbb44","Male",39,"Bachelor","Engineering, Computer Science",FALSE,"Southeast Asian",2,1,1,1,3,3,2,0,0,4,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,"I was to press the space bar six times when I saw the ""please wait"" sign.  I also remember the mosquito exercise from earlier.","Hello",6,0,0,0,0,0.5,0.5,1,0.5,1,1,0,0,0,0.5,0,1,0.5,0.5,1,1,0,0,0.5,0,0,4,7,2,1,1,6,6,2,5,3,5,2,1,4,1,3,2,4,3,4,3,5,6,4
"S033",NA,2026-04-03 10:10:40,44.7110166666667,"chrome 146.0.0","false","Windows 10",1280,551,"69936f6fc30b9c15c0bd043b","Female",33,"Master","Arts and Humanities",FALSE,"White",4,5,4,3,5,4,3,1,0,5,2,4,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"I believe I've been doing various tasks dictated by a male voice, but nothing more than that.","I remember pretending that I'm holding a heavy object in my left hand, then that my hand is very stiff, then very heavy. Another task was to pretend to interact with a mosquito.","Hello",6,0.5,1,1,0,0.5,2,2,1,2,1,2,1,2,1,2,1,1,0,0.5,0.5,0,0.5,0,0,0.5,2,6,2,3,1,7,7,1,7,1,3,1,1,2,2,1,2,1,2,1,7,1,2,1
"S034",NA,2026-04-03 10:17:49,46.8896666666667,"chrome 128.0.0","false","Mac OS",1280,654,"6984bfcd0676cc3969caeef6","Male",36,"Master","Education",FALSE,"White",3,4,3,5,0,4,5,0,0,3,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"J'ai fait des exercices de concentration. J'ai distingué des objets de tailles différentes.","Je me suis toujours souvenu de tout ce qu'il s'est passé.","Hello",0,0.5,1,1,0.5,2,2,0,2,1,0,1,0.5,1,1,1,0,2,0.5,1,2,0,0,0,0,0,1,3,6,7,1,6,7,2,7,4,7,7,5,5,1,3,7,6,7,1,7,2,1,4
"S035",NA,2026-04-03 10:37:37,45.0568833333333,"chrome 128.0.0","false","Mac OS",1440,710,"655f8da6abba5f374f3145dc","Female",38,"Bachelor","Arts and Humanities",FALSE,"Black",5,3,3,5,5,4,4,5,0,2,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I closed my eyes and imagined the birthday song being sung. I closed my eyes and envisioned a bowling bowl weighing my right hand down. I was told to envision 2 balls when there were really three and recall the colors I saw.",NA,"Hello",0,0,0,1,0,0.5,0,2,0,2,0,0.5,1,1,0.5,0.5,2,1,1,2,1,0,0.5,0.5,0,0.5,4,5,2,1,4,1,2,5,6,1,6,1,6,7,6,6,4,2,5,4,6,4,1,1
"S036",NA,2026-04-03 10:39:49,46.8800833333333,"chrome 146.0.0","false","Windows 10",1596,937,"6985f4fbf0d138e1b1231702","Female",70,"High school",NA,FALSE,"White",4,1,0,0,1,4,5,0,0,0,0,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Hold right arm and it got heavy, 2 balls, happy birthday, left arm heavy, elbow not wanting to bend","nothing else","Hello",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,7,7,1,1,3,2,4,4,5,5,5,3,2,2,5,5,1,7,2,6,5,4,2,4
"S037",NA,2026-04-03 10:40:20,43.1560333333333,"chrome 146.0.0","false","Windows 10",1536,695,"5c37aa8b832a8400010983b3","Other",38,"Master","Political Science, Law",FALSE,"Southeast Asian",4,3,3,4,4,5,3,0,0,4,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I did what the voice asked of me. some involved moving my arm in a certain way or imagining it having weight or force drawing my hands together. Other were thinking about a mosquito, or try to hear a song or focusing on balls.",NA,"Hello",6,0,0,0,0,0,0,1,1,2,0.5,0.5,0,1,1,0,1,0.5,0,1,1,0,0,0,0,0.5,6,7,2,2,1,6,7,1,7,2,4,1,2,3,1,2,3,6,5,6,6,1,1,1
"S038",NA,2026-04-03 10:52:21,48.6650166666667,"chrome 146.0.0","false","Windows 10",1536,738,"65959d6d25c5829c491c7fcd","Female",29,"Bachelor","Business, Economics",FALSE,"White",4,3,5,5,3,4,4,1,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"seen colour balls, a mosquito on my hand, holding something heavy","i had to hit the space bar 6 times. i seen 2 colours balls. i had mosquito on my hands , i had to leep my hand feet apart and act like magnet","Hello",6,0.5,1,0.5,0.5,1,0.5,0,0.5,1,1,2,1,2,2,0.5,2,1,1,1,0.5,0,0,0.5,0,0,3,4,2,6,3,6,3,2,6,2,5,2,1,4,1,2,3,4,4,3,7,3,7,1
"S039",NA,2026-04-03 10:57:57,69.2759,"chrome 146.0.0","false","Windows 10",1676,880,"663a8c84b8e7c046d854c8dd","Male",45,"Technical degree, and unfinished Science/Business degree!",NA,FALSE,"White",5,3,1,0,4,4,4,1,0,3,2,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",6,0,0,0,0,1,1,2,1,2,0,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,5,7,1,5,2,6,7,7,6,4,4,1,1,4,2,1,1,4,1,1,5,2,1,2
"S040",NA,2026-04-03 11:12:23,60.8661166666667,"chrome 138.0.0","false","Windows 10",1280,585,"696e46a86969ef2d97ba2031","Female",27,"Bachelor","Medicine",FALSE,"Black",5,5,4,4,5,5,4,2,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I can only remember the ball and raising my hands",NA,"Hello",6,0,0.5,0.5,0,0,0,0,0.5,0.5,0,1,2,2,1,1,1,1,1,1,1,0,2,0.5,0,0.5,5,7,3,5,4,5,6,4,7,2,7,3,5,7,3,6,6,7,4,6,6,2,2,1
"S041",NA,2026-04-03 11:40:34,44.69555,"chrome 146.0.0","false","Windows 10",1366,633,"69c2a5b3b6fe32255b878867","Female",33,"Bachelor","Business, Economics",TRUE,"Black",4,3,4,5,4,3,3,0,0,5,0,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I remember being told to feel mosquito on my arm and feel like I am holding a ball","I remember being told to feel something sweet in my mouth and then the sensation changed to sour","Hello",0,0,1,1,0.5,1,0.5,1,1,1,1,1,0,0.5,1,1,1,1,0.5,0.5,0.5,0,1,0.5,0.5,0,2,6,3,4,3,5,4,4,6,4,6,4,4,6,5,5,5,4,4,4,6,5,2,6
"S042",NA,2026-04-03 11:50:39,50.46595,"chrome 145.0.0","false","Windows 10",1366,641,"69c58c74ab9ab638c44a01c7","Male",27,"Bachelor","Psychology, Neuroscience",FALSE,"Black",3,4,4,5,5,5,5,5,3,5,3,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Illusions and the power of illusions","I remember pressing space bar","Hello",0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0,0,7,7,1,1,1,5,7,1,7,1,7,1,4,7,5,4,1,7,1,4,7,1,1,1
"S043",NA,2026-04-03 13:01:02,47.7356333333333,"chrome 146.0.0","false","Windows 10",1536,695,"6974f48f1bb7e57e91941100","Female",21,"High school",NA,TRUE,"South Asian",4,3,3,3,4,3,2,2,1,4,4,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"i remembercolour of balls,hand stiffness,heavy weight in hand","i remember hearing birthday music.","Hello",6,0.5,0.5,1,0.5,1,0.5,0.5,1,0.5,0.5,2,0.5,1,1,0.5,1,1,2,1,1,0.5,0.5,1,0.5,0.5,3,4,3,6,3,3,3,4,3,3,5,4,3,5,5,5,5,5,5,3,4,3,3,4
"S044",NA,2026-04-03 13:01:16,47.5716833333333,"chrome 146.0.0","false","Windows 10",1920,911,"69b6d8cbd82acc7351c9112c","Female",28,"Bachelor","Arts and Humanities",FALSE,"White",4,1,1,4,2,5,1,1,0,3,0,4,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"Right arm up with palm up heavy, three color balls, left arm heavy, Birthday song.Only those 4 exercises i can remember","Stiff arm, mosquito, press bar","Hello",6,0.5,1,0.5,0,0.5,1,2,0,1,0,1,1,1,1,1,1,1,2,1,0.5,0,1,0,1,1,7,7,1,1,2,5,6,5,5,2,5,2,6,4,3,4,6,5,4,1,7,3,1,1
"S045",NA,2026-04-03 13:03:07,61.10695,"chrome 146.0.0","false","Windows 10",1536,730,"67dea73927324290d667874f","Female",57,"Doctorate","Engineering, Computer Science",FALSE,"Black",4,4,2,0,0,4,5,2,4,3,5,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"i have been told to close my eyes and listen to specific instructions of what i should do","to press the spacebar 6 times","Hello",0,0,0,0.5,1,0,0,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0.5,0.5,1,0,0.5,1,0,0.5,5,6,3,2,7,1,1,7,7,1,5,1,1,6,5,2,3,4,1,5,6,1,1,1
"S046",NA,2026-04-03 13:03:10,54.9516166666667,"edge-chromium 146.0.0","false","Windows 10",1528,732,"61602f3b058c7449d82ec2cf","Female",42,"Master","Accounting",FALSE,"Black",3,3,1,0,0,3,1,0,0,3,3,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",1,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,7,6,1,1,1,4,4,1,7,1,7,4,1,5,1,1,1,7,1,4,5,1,1,2
"S047",NA,2026-04-03 13:03:13,46.7826833333333,"chrome 109.0.0","false","Windows 10",1920,969,"692c55b3a97fe6280253b738","Male",46,"Master","Business, Economics",FALSE,"White",0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"I don't have a vivid imagination, i could not connect  with the voice, i didn't feel the sensations","I remember the voice","Hello",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,7,7,1,1,3,5,1,6,5,7,4,1,7,7,1,7,1,5,1,1,1,1,7,7
"S048",NA,2026-04-03 13:03:26,51.5746,"chrome 146.0.0","false","Windows 10",1366,641,"67c3552b821be870e6f02737","Female",21,"Bachelor","Engineering, Computer Science",TRUE,"Black",4,5,5,4,5,4,5,0,0,5,0,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Arms exercise, saw balls, was sung happy birthday, forgetting everything","1st exercise was to lift my arms according to the instructions, I was then told to lift my arm as I heart happy birthday sing, also I was told to remember the balls presented on the screen","Hello",6,0,1,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0.5,0.5,1,0,0,0.5,0,0.5,0,0,0,7,7,1,1,1,4,4,1,7,1,6,1,2,7,6,5,4,5,5,1,4,1,2,1
"S049",NA,2026-04-03 13:04:09,50.4367166666667,"edge-chromium 146.0.0","false","Windows 10",1528,732,"66c37bf8e352d8eb881cd18a","Female",38,"Bachelor","Engineering, Computer Science",TRUE,"Black",5,4,3,5,3,2,5,1,0,5,0,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",4,0,1,1,0.5,0,1,1,0.5,2,0.5,0.5,0.5,1,1,1,2,2,1,0.5,1,0,0,1,0.5,0,7,7,1,1,3,1,6,3,6,1,6,1,4,6,7,5,3,6,4,3,1,5,1,3
"S050",NA,2026-04-03 13:04:37,43.0582,"chrome 146.0.0","false","Windows 10",2560,1305,"698463bc1c76f35f67fc292e","Male",27,"Bachelor","Engineering, Computer Science",FALSE,"White",4,2,4,3,5,4,4,0,0,3,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"to imagine that i step down 20 stairs, that my arms where heavy or stiff, to look at 2 ball but there was three and listen to a birthday music","compared to the previous one i remember that i also had to keep my two hand 1 feet apart from each other but imagine that they were pulled together","Hello",6,0,0,0,0.5,0,0,2,1,1,1,2,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,1,5,5,2,1,7,6,2,5,3,5,5,2,4,1,1,1,6,1,3,6,2,1,2
"S051",NA,2026-04-03 13:05:14,44.3684333333333,"firefox 148.0.0","false","Windows 10",1536,731,"69c64da81dae8257a5e394bb","Female",30,"High school",NA,FALSE,"White",3,4,1,2,1,1,1,4,0,5,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"I had to do a few different exercises. For example lifting my hand up and think about it feeling really heavy or having both hands up and imagining a force pulling them together. Another one was to hear the happy birthday song and raising your hand when you could hear it. I had to look at a picture of balls and remember the colors. Also had to keep my hand in my lap and feeling it getting heavier and not being able to lift it up again.","I cannot remember anything else than what I previously mentioned.","Hello",6,0,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0.5,1,1,0.5,0,0.5,0,0.5,0,0,0,5,6,1,1,2,5,7,1,6,3,7,4,3,4,4,3,3,3,5,2,6,3,2,3
"S052",NA,2026-04-03 13:05:54,46.4484,"firefox 149.0.0","false","Windows 10",2048,1039,"6599ccb480820849a02bf38c","Male",39,"High school",NA,FALSE,"White",4,3,2,4,1,5,4,3,4,4,5,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"I picked whatever line was longer x2 & whatever ball was bigger. I also had to visualize things like my hand being stiffer which it was and then a mosquito being on my hand, happy birthday being recited to me very quietly. I had to pick the colors of 2 balls which were very hard to see.","I thought he said something about the space bar but then I also forgot? Feels so weird lol, somehow I didn't remember the 6 times though but it felt so weird.","Hello",0,0,0.5,0,0,0,1,0,0,0,0.5,0,0,0.5,1,0,1,1,0.5,0.5,1,0,1,0,0,0,3,6,2,6,4,3,3,6,5,2,4,1,1,6,2,1,3,4,3,3,5,3,2,5
"S053",NA,2026-04-03 13:06:18,55.1703833333333,"chrome 146.0.0","false","Windows 10",1536,730,"60f49bc8ed8976b9448e3730","Female",36,"Master","Arts and Humanities",FALSE,"Black",5,5,4,3,4,4,4,0,0,5,3,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Had to lift my right hand and feel heaviness, then both hands palms up, then palms facing each other, then  had to watch 3 balls.","I had to listen to instructions about pressing the space bar, i actually pressed it out of panic","Hello",6,0,0,0.5,0,0,0,0,0.5,0.5,0,0.5,0,1,0.5,1,1,1,0,0.5,0,0,0,0,0,0,5,6,3,1,5,5,4,3,7,1,7,2,6,7,5,7,3,6,3,4,7,1,1,1
"S054",NA,2026-04-03 13:07:17,66.58255,"chrome 146.0.0","false","Windows 10",1280,585,"67dc2076f3a330eb3c1f6901","Female",33,"Master","Engineering, Computer Science",TRUE,"Black",5,4,4,3,5,4,4,4,3,4,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"I pressed the space bar 6 times","Hello",0,0.5,2,0,0.5,2,1,2,0,1,0,2,0.5,2,2,1,1,1,2,1,2,0,2,2,0,0,7,7,1,5,5,6,4,7,7,1,7,1,5,7,7,7,4,4,4,7,1,1,1,7
"S055",NA,2026-04-03 13:07:36,56.56065,"edge-chromium 146.0.0","false","Windows 10",1912,948,"675fbf9e0c6433c97616650d","Female",38,"Master","Engineering, Computer Science",FALSE,"Black",5,5,4,5,4,5,5,4,0,4,4,2,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"i was told to listen to a happy birthday song. i was holding a rigid ball to fell the heavyness of the ball. i heard a mosquito buzzing and heard as if it was biting me on my arm","i was told to press the  spacebar","Hello",0,0.5,1,1,0,2,0.5,1,0.5,0.5,0,1,0,0.5,0.5,0,1,1,0,0.5,0,0,0,0,0,0,5,6,1,4,2,2,5,1,7,1,7,2,1,4,1,6,5,6,5,2,5,1,1,3
"S056",NA,2026-04-03 13:08:28,50.2408,"edge-chromium 146.0.0","false","Windows 10",1536,864,"672383a4299ffd0c4d4cf4ec","Female",30,"Bachelor","Psychology, Neuroscience",FALSE,"Black",3,5,5,4,4,5,4,2,0,4,2,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"THE SENSETIONAL FEELINGS ON MY THOUGHTS  AND THE IMAGINATION RUNNUING WILD IN MY THOUGHT","Hello",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,1,4,4,7,4,4,4,4,4,4,1,7,7,1,7,1,1,7,1,1,1
"S057",NA,2026-04-03 13:33:04,51.8747333333333,"chrome 146.0.0","false","Windows 10",1366,641,"67f2f4b9769f12d21471a6b9","Female",22,"High school",NA,TRUE,"Black",5,3,4,3,2,3,5,0,0,3,3,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"had to put my hands up and down and imagine the sweet and sour things in my mouth","had to close my eyes and exercise","Hello",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7,7,1,1,4,5,4,7,7,1,7,1,5,7,7,4,1,7,2,1,6,1,1,3
"S058",NA,2026-04-03 13:53:05,70.3118833333333,"chrome 146.0.0","false","Windows 10",1366,641,"667bd577710d52a05ac09036","Female",32,"Bachelor","Biology, Chemistry, Physics",FALSE,"Black",3,2,5,3,2,4,4,5,5,0,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,"Hello",0,0,1,1,0,1,0,1,0,0.5,0,0.5,0,0.5,0.5,1,2,2,0.5,1,0,0,0,0,0.5,0,5,6,3,4,3,3,1,4,3,2,5,1,3,6,4,3,5,5,5,1,1,2,2,1
"S059",NA,2026-04-03 13:55:22,54.214,"chrome 146.0.0","false","Windows 10",1536,730,"615eb4359e91a19283b519cf","Female",19,"High school",NA,FALSE,"Black",4,5,4,5,4,5,0,0,0,5,3,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"colour of balls,no sound of happy birthday song","closing eyes; rising your arms ;feeling heaviness on arms","Hello",6,0,1,1,0,0,0,0.5,2,2,0.5,2,0,1,2,0.5,1,0,0,2,2,2,0,2,2,2,1,1,7,7,1,7,1,1,1,7,1,7,1,7,7,7,7,7,7,6,1,1,1,7
"S060",NA,2026-04-03 13:59:37,50.8884833333333,"chrome 146.0.0","false","Windows 10",1920,991,"696bb4062c305603b1e0511f","Male",31,"High school",NA,FALSE,"White",3,2,1,3,0,4,4,0,0,5,2,2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"I now remember the initial exercise of going down the stairs and counting to 20.","Hello",6,0,0,0.5,1,0,0.5,0.5,1,1,1,1,0,2,1,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,5,6,2,3,2,6,6,3,4,3,5,6,5,4,2,2,1,6,2,6,7,1,1,1
"S061",NA,2026-04-03 14:00:15,51.6486,"chrome 146.0.0","false","Windows 10",1920,911,"69bbcc5708f71e0e504deeed","Male",29,"Bachelor","Engineering, Computer Science",FALSE,"White",3,0,1,1,0,0,2,0,0,5,0,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Had several mental exercises where I had to imagine that my hands are heavy, one where I had to imagine a mosquito, and several imaginative exercises. Also one with 2 balls but actually 3 being displayed.","Nothing else compared to the last time.","Hello",6,0,0,0.5,0,0,0,0,0.5,0.5,1,0.5,0,1,0,1,2,0,0,0,0.5,0.5,0.5,1,0,0,6,7,3,1,5,5,4,3,4,4,4,3,4,5,2,3,6,4,5,4,5,3,2,2
"S062",NA,2026-04-03 14:04:53,41.5333,"chrome 146.0.0","false","Windows 10",1920,975,"66b7dd88a3f352b57776c807","Male",21,"High school",NA,TRUE,"White",4,3,2,2,2,3,3,1,0,4,1,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"lifted my hands felt like it was heavy, saw colored balls, brought my hands together as if there was a force","i dont know","Hello",0,1,1,2,1,2,1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0.5,1,0.5,2,4,5,6,3,6,1,2,3,3,4,5,6,6,6,6,5,3,5,1,3,6,5,6
"S063",NA,2026-04-03 14:05:18,47.0986666666667,"chrome 146.0.0","false","Windows 10",1440,731,"69b1b777b6001c732d14c141","Male",23,"Bachelor","Econometrics",TRUE,"White",1,0,2,0,1,3,2,0,4,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"Felt connection between my hands, my hand was supposed to feel heavy and go down","Taste sweet and sour in my mouth, mosquito on my head, see the different balls","Hello",0,0,0,0.5,0.5,1,0,1,0.5,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0,0.5,0.5,0.5,6,5,2,3,3,6,5,2,5,3,5,3,5,4,2,3,3,6,3,5,3,5,4,3
"S064",NA,2026-04-03 14:05:24,39.3378333333333,"chrome 146.0.0","false","Windows 10",1536,695,"69ce4540eef20e1c8fcc0760","Male",26,"Master","Biology, Chemistry, Physics",FALSE,"White",4,2,3,2,5,3,4,1,0,2,4,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"something with the balls","the balls the phrase of sentation in your arm and heavy weight on your hands","Hello",0,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,0.5,1,3,5,4,4,7,2,4,7,7,1,6,2,6,5,3,3,3,6,2,5,5,1,2,1
